"Committee Name","Name","Congresses","committee_type"
"Homeland Security","HORSFORD, Steven","113th (2013–2015)","House Standing Committees"
"Homeland Security","PAYNE, Donald, Jr.","113th (2013–2015) – 116th (2019–2021)","House Standing Committees"
"Homeland Security","HURD, William Ballard","114th (2015–2017) – 115th (2017–2019)","House Standing Committees"
"Homeland Security","WATSON COLEMAN, Bonnie","114th (2015–2017) – 116th (2019–2021)","House Standing Committees"
"Homeland Security","DEMINGS, Valdez","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Homeland Security","UNDERWOOD, Lauren","116th (2019–2021)","House Standing Committees"
"House Administration","HAWKINS, Augustus Freeman (Gus)","91st (1969–1971) – 98th (1983–1985)","House Standing Committees"
"House Administration","CLAY, William Lacy, Sr.","99th (1985–1987) – 103rd (1993–1995)","House Standing Committees"
"House Administration","GRAY, William Herbert, III","102nd (1991–1993)","House Standing Committees"
"House Administration","FATTAH, Chaka","106th (1999–2001) – 107th (2001–2003)","House Standing Committees"
"House Administration","MILLENDER-MCDONALD, Juanita","108th (2003–2005) – 110th (2007–2009)","House Standing Committees"
"House Administration","DAVIS, Artur","110th (2007–2009) – 111th (2009–2011)","House Standing Committees"
"House Administration","BUTTERFIELD, George Kenneth (G.K.), Jr.","116th (2019–2021)","House Standing Committees"
"House Administration","FUDGE, Marcia L.","116th (2019–2021)","House Standing Committees"
"House Oversight","JEFFERSON, William Jennings","104th (1995–1997)","House Standing Committees"
"House Oversight","KILPATRICK, Carolyn Cheeks","105th (1997–1999)","House Standing Committees"
"Indian Affairs","RAINEY, Joseph Hayne","43rd (1873–1875)","House Standing Committees"
"Indian Affairs","DE PRIEST, Oscar Stanton","71st (1929–1931) – 73rd (1933–1935)","House Standing Committees"
"Indian Affairs","POWELL, Adam Clayton, Jr.","79th (1945–1947)","House Standing Committees"
"Insular Affairs","DAWSON, William Levi","78th (1943–1945) – 79th (1945–1947)","House Standing Committees"
"Interior and Insular Affairs","DAWSON, William Levi","82nd (1951–1953)","House Standing Committees"
"Interior and Insular Affairs","DIGGS, Charles Coles, Jr.","84th (1955–1957) – 85th (1957–1959)","House Standing Committees"
"Interior and Insular Affairs","POWELL, Adam Clayton, Jr.","84th (1955–1957) – 86th (1959–1961)","House Standing Committees"
"Interior and Insular Affairs","BURKE, Yvonne Brathwaite","93rd (1973–1975)","House Standing Committees"
"Interior and Insular Affairs","EVANS, Melvin Herbert","96th (1979–1981)","House Standing Committees"
"Interior and Insular Affairs","LEWIS, John R.","100th (1987–1989) – 102nd (1991–1993)","House Standing Committees"
"Internal Security","STOKES, Louis","91st (1969–1971)","House Standing Committees"
"International Relations","COLLINS, Cardiss","94th (1975–1977) – 96th (1979–1981)","House Standing Committees"
"International Relations","DIGGS, Charles Coles, Jr.","95th (1977–1979) – 96th (1979–1981)","House Standing Committees"
"International Relations","NIX, Robert Nelson Cornelius, Sr.","95th (1977–1979)","House Standing Committees"
"International Relations","CROCKETT, George William, Jr.","96th (1979–1981)","House Standing Committees"
"International Relations","GRAY, William Herbert, III","96th (1979–1981)","House Standing Committees"
"International Relations","FRAZER, Victor O.","104th (1995–1997)","House Standing Committees"
"International Relations","HASTINGS, Alcee Lamar","104th (1995–1997) – 106th (1999–2001)","House Standing Committees"
"International Relations","MCKINNEY, Cynthia Ann","104th (1995–1997) – 107th (2001–2003)","House Standing Committees"
"International Relations","PAYNE, Donald Milford","104th (1995–1997) – 109th (2005–2007)","House Standing Committees"
"International Relations","WYNN, Albert Russell","104th (1995–1997)","House Standing Committees"
"International Relations","HILLIARD, Earl Frederick","105th (1997–1999) – 107th (2001–2003)","House Standing Committees"
"International Relations","LEE, Barbara","106th (1999–2001) – 109th (2005–2007)","House Standing Committees"
"International Relations","MEEKS, Gregory W.","106th (1999–2001) – 109th (2005–2007)","House Standing Committees"
"International Relations","WATSON, Diane Edith","107th (2001–2003) – 109th (2005–2007)","House Standing Committees"
"Interstate and Foreign Commerce","METCALFE, Ralph Harold","92nd (1971–1973) – 95th (1977–1979)","House Standing Committees"
"Interstate and Foreign Commerce","LELAND, George Thomas (Mickey)","96th (1979–1981)","House Standing Committees"
"Invalid Pensions","TURNER, Benjamin Sterling","42nd (1871–1873)","House Standing Committees"
"Invalid Pensions","RAINEY, Joseph Hayne","44th (1875–1877) – 45th (1877–1879)","House Standing Committees"
"Invalid Pensions","O'HARA, James Edward","49th (1885–1887)","House Standing Committees"
"Invalid Pensions","DE PRIEST, Oscar Stanton","71st (1929–1931) – 73rd (1933–1935)","House Standing Committees"
"Invalid Pensions","DAWSON, William Levi","78th (1943–1945) – 79th (1945–1947)","House Standing Committees"
"Invalid Pensions","POWELL, Adam Clayton, Jr.","79th (1945–1947)","House Standing Committees"
"Irrigation and Reclamation","DAWSON, William Levi","78th (1943–1945) – 79th (1945–1947)","House Standing Committees"
"Judiciary","CONYERS, John, Jr.","89th (1965–1967) – 115th (2017–2019)","House Standing Committees"
"Judiciary","RANGEL, Charles B.","92nd (1971–1973) – 93rd (1973–1975)","House Standing Committees"
"Judiciary","JORDAN, Barbara Charline","93rd (1973–1975) – 95th (1977–1979)","House Standing Committees"
"Judiciary","CROCKETT, George William, Jr.","97th (1981–1983) – 101st (1989–1991)","House Standing Committees"
"Judiciary","WASHINGTON, Harold","97th (1981–1983) – 98th (1983–1985)","House Standing Committees"
"Judiciary","WASHINGTON, Craig Anthony","101st (1989–1991) – 103rd (1993–1995)","House Standing Committees"
"Judiciary","SCOTT, Robert C.","103rd (1993–1995) – 113th (2013–2015)","House Standing Committees"
"Judiciary","WATT, Melvin L.","103rd (1993–1995) – 113th (2013–2015)","House Standing Committees"
"Judiciary","JACKSON LEE, Sheila","104th (1995–1997) – 116th (2019–2021)","House Standing Committees"
"Judiciary","WATERS, Maxine","105th (1997–1999) – 112th (2011–2013)","House Standing Committees"
"Judiciary","DAVIS, Artur","110th (2007–2009)","House Standing Committees"
"Judiciary","ELLISON, Keith","110th (2007–2009)","House Standing Committees"
"Judiciary","JOHNSON, Hank","110th (2007–2009) – 116th (2019–2021)","House Standing Committees"
"Judiciary","BASS, Karen","113th (2013–2015) – 116th (2019–2021)","House Standing Committees"
"Judiciary","JEFFRIES, Hakeem","113th (2013–2015) – 116th (2019–2021)","House Standing Committees"
"Judiciary","RICHMOND, Cedric","113th (2013–2015) – 116th (2019–2021)","House Standing Committees"
"Judiciary","DEMINGS, Valdez","116th (2019–2021)","House Standing Committees"
"Judiciary","MCBATH, Lucy","116th (2019–2021)","House Standing Committees"
"Judiciary","NEGUSE, Joseph","116th (2019–2021)","House Standing Committees"
"Labor","MILLER, Thomas Ezekiel","51st (1889–1891)","House Standing Committees"
"Labor","POWELL, Adam Clayton, Jr.","79th (1945–1947)","House Standing Committees"
"Manufactures","DE LARGE, Robert Carlos","42nd (1871–1873)","House Standing Committees"
"Manufactures","RANSIER, Alonzo Jacob","43rd (1873–1875)","House Standing Committees"
"Manufactures","HYMAN, John Adams","44th (1875–1877)","House Standing Committees"
"Manufactures","SMALLS, Robert","48th (1883–1885)","House Standing Committees"
"Merchant Marine and Fisheries","NIX, Robert Nelson Cornelius, Sr.","85th (1957–1959) – 86th (1959–1961)","House Standing Committees"
"Merchant Marine and Fisheries","METCALFE, Ralph Harold","92nd (1971–1973) – 95th (1977–1979)","House Standing Committees"
"Merchant Marine and Fisheries","EVANS, Melvin Herbert","96th (1979–1981)","House Standing Committees"
"Merchant Marine and Fisheries","BLACKWELL, Lucien Edward","102nd (1991–1993)","House Standing Committees"
"Merchant Marine and Fisheries","JEFFERSON, William Jennings","102nd (1991–1993)","House Standing Committees"
"Merchant Marine and Fisheries","HASTINGS, Alcee Lamar","103rd (1993–1995)","House Standing Committees"
"Merchant Marine and Fisheries","THOMPSON, Bennie","103rd (1993–1995)","House Standing Committees"
"Mileage","WALLS, Josiah Thomas","44th (1875–1877)","House Standing Committees"
"Militia","WALLS, Josiah Thomas","42nd (1871–1873) – 43rd (1873–1875)","House Standing Committees"
"Militia","ELLIOTT, Robert Brown","43rd (1873–1875)","House Standing Committees"
"Militia","SMALLS, Robert","45th (1877–1879); 47th (1881–1883) – 48th (1883–1885)","House Standing Committees"
"Militia","LYNCH, John Roy","47th (1881–1883)","House Standing Committees"
"Mines and Mining","LYNCH, John Roy","43rd (1873–1875) – 44th (1875–1877)","House Standing Committees"
"Mines and Mining","O'HARA, James Edward","48th (1883–1885)","House Standing Committees"
"National Security","DELLUMS, Ronald V.","104th (1995–1997) – 105th (1997–1999)","House Standing Committees"
"National Security","JEFFERSON, William Jennings","104th (1995–1997)","House Standing Committees"
"National Security","WATTS, Julius Caesar, Jr. (J. C.)","104th (1995–1997) – 105th (1997–1999)","House Standing Committees"
"National Security","MCKINNEY, Cynthia Ann","105th (1997–1999)","House Standing Committees"
"Natural Resources","CHRISTENSEN, Donna Marie","110th (2007–2009) – 111th (2009–2011)","House Standing Committees"
"Natural Resources","HORSFORD, Steven","113th (2013–2015); 116th (2019–2021)","House Standing Committees"
"Natural Resources","BROWN, Anthony Gregory","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Natural Resources","CLAY, William Lacy, Jr.","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Natural Resources","MCEACHIN, Aston Donald","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Natural Resources","NEGUSE, Joseph","116th (2019–2021)","House Standing Committees"
"Oversight","KILPATRICK, Carolyn Cheeks","105th (1997–1999)","House Standing Committees"
"Oversight and Government Reform","CLAY, William Lacy, Jr.","110th (2007–2009) – 115th (2017–2019)","House Standing Committees"
"Oversight and Government Reform","CUMMINGS, Elijah Eugene","110th (2007–2009) – 113th (2013–2015); 115th (2017–2019)","House Standing Committees"
"Oversight and Government Reform","DAVIS, Danny K.","110th (2007–2009) – 113th (2013–2015)","House Standing Committees"
"Oversight and Government Reform","NORTON, Eleanor Holmes","110th (2007–2009) – 115th (2017–2019)","House Standing Committees"
"Oversight and Government Reform","TOWNS, Edolphus","110th (2007–2009) – 112th (2011–2013)","House Standing Committees"
"Oversight and Government Reform","WATSON, Diane Edith","110th (2007–2009) – 111th (2009–2011)","House Standing Committees"
"Oversight and Government Reform","HORSFORD, Steven","113th (2013–2015)","House Standing Committees"
"Oversight and Government Reform","KELLY, Robin L.","113th (2013–2015) – 115th (2017–2019)","House Standing Committees"
"Oversight and Government Reform","HURD, William Ballard","114th (2015–2017) – 115th (2017–2019)","House Standing Committees"
"Oversight and Government Reform","LAWRENCE, Brenda L.","114th (2015–2017) – 115th (2017–2019)","House Standing Committees"
"Oversight and Government Reform","DEMINGS, Valdez","115th (2017–2019)","House Standing Committees"
"Oversight and Government Reform","PLASKETT, Stacey E.","115th (2017–2019)","House Standing Committees"
"Oversight and Government Reform","WATSON COLEMAN, Bonnie","115th (2017–2019)","House Standing Committees"
"Oversight and Reform","CLAY, William Lacy, Jr.","116th (2019–2021)","House Standing Committees"
"Oversight and Reform","CUMMINGS, Elijah Eugene","116th (2019–2021)","House Standing Committees"
"Oversight and Reform","KELLY, Robin L.","116th (2019–2021)","House Standing Committees"
"Oversight and Reform","LAWRENCE, Brenda L.","116th (2019–2021)","House Standing Committees"
"Oversight and Reform","NORTON, Eleanor Holmes","116th (2019–2021)","House Standing Committees"
"Oversight and Reform","PLASKETT, Stacey E.","116th (2019–2021)","House Standing Committees"
"Oversight and Reform","PRESSLEY, Ayanna","116th (2019–2021)","House Standing Committees"
"Permanent Select Committee on Intelligence","STOKES, Louis","98th (1983–1985) – 100th (1987–1989)","House Standing Committees"
"Permanent Select Committee on Intelligence","DELLUMS, Ronald V.","102nd (1991–1993)","House Standing Committees"
"Permanent Select Committee on Intelligence","DIXON, Julian Carey","103rd (1993–1995) – 106th (1999–2001)","House Standing Committees"
"Permanent Select Committee on Intelligence","BISHOP, Sanford Dixon, Jr.","105th (1997–1999) – 107th (2001–2003)","House Standing Committees"
"Permanent Select Committee on Intelligence","HASTINGS, Alcee Lamar","106th (1999–2001) – 111th (2009–2011)","House Standing Committees"
"Permanent Select Committee on Intelligence","SEWELL, Terri","113th (2013–2015) – 116th (2019–2021)","House Standing Committees"
"Permanent Select Committee on Intelligence","CARSON, André","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Permanent Select Committee on Intelligence","HURD, William Ballard","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Permanent Select Committee on Intelligence","DEMINGS, Valdez","116th (2019–2021)","House Standing Committees"
"Post Office and Civil Service","NIX, Robert Nelson Cornelius, Sr.","88th (1963–1965) – 95th (1977–1979)","House Standing Committees"
"Post Office and Civil Service","CLAY, William Lacy, Sr.","93rd (1973–1975) – 103rd (1993–1995)","House Standing Committees"
"Post Office and Civil Service","METCALFE, Ralph Harold","95th (1977–1979)","House Standing Committees"
"Post Office and Civil Service","LELAND, George Thomas (Mickey)","96th (1979–1981) – 101st (1989–1991)","House Standing Committees"
"Post Office and Civil Service","DELLUMS, Ronald V.","97th (1981–1983) – 98th (1983–1985)","House Standing Committees"
"Post Office and Civil Service","SAVAGE, Gus","97th (1981–1983)","House Standing Committees"
"Post Office and Civil Service","DYMALLY, Mervyn Malcolm","98th (1983–1985) – 102nd (1991–1993)","House Standing Committees"
"Post Office and Civil Service","HALL, Katie Beatrice","98th (1983–1985)","House Standing Committees"
"Post Office and Civil Service","HAYES, Charles Arthur","101st (1989–1991) – 102nd (1991–1993)","House Standing Committees"
"Post Office and Civil Service","COLLINS, Barbara-Rose","102nd (1991–1993) – 103rd (1993–1995)","House Standing Committees"
"Post Office and Civil Service","NORTON, Eleanor Holmes","102nd (1991–1993) – 103rd (1993–1995)","House Standing Committees"
"Post Office and Civil Service","BISHOP, Sanford Dixon, Jr.","103rd (1993–1995)","House Standing Committees"
"Post Office and Civil Service","HASTINGS, Alcee Lamar","103rd (1993–1995)","House Standing Committees"
"Post Office and Civil Service","WATT, Melvin L.","103rd (1993–1995)","House Standing Committees"
"Post Office and Civil Service","WYNN, Albert Russell","103rd (1993–1995)","House Standing Committees"
"Post Office and Post Roads","DE PRIEST, Oscar Stanton","73rd (1933–1935)","House Standing Committees"
"Post Office and Post Roads","MITCHELL, Arthur Wergs","74th (1935–1937) – 77th (1941–1943)","House Standing Committees"
"Private Land Claims","CAIN, Richard Harvey","45th (1877–1879)","House Standing Committees"
"Public Expenditures","HARALSON, Jeremiah","44th (1875–1877)","House Standing Committees"
"Public Works","COLLINS, George Washington","92nd (1971–1973)","House Standing Committees"
"Public Works","RANGEL, Charles B.","92nd (1971–1973)","House Standing Committees"
"Public Works","BURKE, Yvonne Brathwaite","93rd (1973–1975)","House Standing Committees"
"Public Works","COLLINS, Cardiss","93rd (1973–1975)","House Standing Committees"
"Public Works and Transportation","SAVAGE, Gus","97th (1981–1983) – 102nd (1991–1993)","House Standing Committees"
"Public Works and Transportation","HALL, Katie Beatrice","98th (1983–1985)","House Standing Committees"
"Public Works and Transportation","TOWNS, Edolphus","98th (1983–1985) – 104th (1995–1997)","House Standing Committees"
"Public Works and Transportation","LEWIS, John R.","100th (1987–1989) – 102nd (1991–1993)","House Standing Committees"
"Public Works and Transportation","BLACKWELL, Lucien Edward","102nd (1991–1993) – 103rd (1993–1995)","House Standing Committees"
"Public Works and Transportation","COLLINS, Barbara-Rose","102nd (1991–1993) – 103rd (1993–1995)","House Standing Committees"
"Public Works and Transportation","NORTON, Eleanor Holmes","102nd (1991–1993) – 103rd (1993–1995)","House Standing Committees"
"Public Works and Transportation","BROWN, Corrine","103rd (1993–1995)","House Standing Committees"
"Public Works and Transportation","CLYBURN, James Enos","103rd (1993–1995)","House Standing Committees"
"Public Works and Transportation","JOHNSON, Eddie Bernice","103rd (1993–1995)","House Standing Committees"
"Public Works and Transportation","TUCKER, Walter R., III","103rd (1993–1995)","House Standing Committees"
"Resources","CHRISTENSEN, Donna Marie","105th (1997–1999) – 109th (2005–2007)","House Standing Committees"
"Rules","YOUNG, Andrew Jackson, Jr.","94th (1975–1977)","House Standing Committees"
"Rules","CHISHOLM, Shirley Anita","95th (1977–1979) – 97th (1981–1983)","House Standing Committees"
"Rules","WHEAT, Alan Dupree","98th (1983–1985) – 103rd (1993–1995)","House Standing Committees"
"Rules","HASTINGS, Alcee Lamar","107th (2001–2003) – 110th (2007–2009); 112th (2011–2013) – 116th (2019–2021)","House Standing Committees"
"Rules","SCOTT, Tim","112th (2011–2013)","House Standing Committees"
"Science","HASTINGS, Alcee Lamar","104th (1995–1997) – 106th (1999–2001)","House Standing Committees"
"Science","JACKSON LEE, Sheila","104th (1995–1997) – 109th (2005–2007)","House Standing Committees"
"Science","JOHNSON, Eddie Bernice","104th (1995–1997) – 109th (2005–2007)","House Standing Committees"
"Science","LEE, Barbara","105th (1997–1999)","House Standing Committees"
"Science","GREEN, Al","109th (2005–2007)","House Standing Committees"
"Science and Astronautics","RANGEL, Charles B.","92nd (1971–1973)","House Standing Committees"
"Science and Technology","DYMALLY, Mervyn Malcolm","97th (1981–1983) – 98th (1983–1985)","House Standing Committees"
"Science and Technology","CARSON, André","110th (2007–2009)","House Standing Committees"
"Science and Technology","EDWARDS, Donna F.","110th (2007–2009) – 111th (2009–2011)","House Standing Committees"
"Science and Technology","JOHNSON, Eddie Bernice","110th (2007–2009) – 111th (2009–2011)","House Standing Committees"
"Science and Technology","RICHARDSON, Laura","110th (2007–2009)","House Standing Committees"
"Science and Technology","FUDGE, Marcia L.","111th (2009–2011)","House Standing Committees"
"Science, Space and Technology","COLLINS, Barbara-Rose","102nd (1991–1993)","House Standing Committees"
"Science, Space and Technology","JOHNSON, Eddie Bernice","103rd (1993–1995)","House Standing Committees"
"Science, Space, and Technology","JOHNSON, Eddie Bernice","103rd (1993–1995); 112th (2011–2013) – 113th (2013–2015); 115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Science, Space, and Technology","RUSH, Bobby L.","103rd (1993–1995)","House Standing Committees"
"Science, Space, and Technology","SCOTT, Robert C.","103rd (1993–1995)","House Standing Committees"
"Science, Space, and Technology","CLARKE, Hansen","112th (2011–2013)","House Standing Committees"
"Science, Space, and Technology","EDWARDS, Donna F.","112th (2011–2013) – 114th (2015–2017)","House Standing Committees"
"Science, Space, and Technology","FUDGE, Marcia L.","112th (2011–2013)","House Standing Committees"
"Science, Space, and Technology","SEWELL, Terri","112th (2011–2013)","House Standing Committees"
"Science, Space, and Technology","WILSON, Frederica","112th (2011–2013) – 114th (2015–2017)","House Standing Committees"
"Science, Space, and Technology","KELLY, Robin L.","113th (2013–2015)","House Standing Committees"
"Science, Space, and Technology","VEASEY, Marc","113th (2013–2015) – 115th (2017–2019)","House Standing Committees"
"Small Business","MITCHELL, Parren James","94th (1975–1977); 96th (1979–1981) – 99th (1985–1987)","House Standing Committees"
"Small Business","CROCKETT, George William, Jr.","97th (1981–1983)","House Standing Committees"
"Small Business","SAVAGE, Gus","97th (1981–1983) – 102nd (1991–1993)","House Standing Committees"
"Small Business","HAYES, Charles Arthur","98th (1983–1985) – 101st (1989–1991)","House Standing Committees"
"Small Business","WALDON, Alton R., Jr.","99th (1985–1987)","House Standing Committees"
"Small Business","CONYERS, John, Jr.","100th (1987–1989) – 103rd (1993–1995)","House Standing Committees"
"Small Business","FLAKE, Floyd Harold","100th (1987–1989) – 105th (1997–1999)","House Standing Committees"
"Small Business","MFUME, Kweisi","100th (1987–1989) – 104th (1995–1997)","House Standing Committees"
"Small Business","FRANKS, Gary A.","102nd (1991–1993)","House Standing Committees"
"Small Business","CLAYTON, Eva M.","103rd (1993–1995) – 104th (1995–1997)","House Standing Committees"
"Small Business","FIELDS, Cleo","103rd (1993–1995) – 104th (1995–1997)","House Standing Committees"
"Small Business","HILLIARD, Earl Frederick","103rd (1993–1995) – 104th (1995–1997)","House Standing Committees"
"Small Business","THOMPSON, Bennie","103rd (1993–1995) – 104th (1995–1997)","House Standing Committees"
"Small Business","TUCKER, Walter R., III","103rd (1993–1995) – 104th (1995–1997)","House Standing Committees"
"Small Business","WATERS, Maxine","103rd (1993–1995) – 104th (1995–1997)","House Standing Committees"
"Small Business","CLYBURN, James Enos","104th (1995–1997)","House Standing Committees"
"Small Business","FATTAH, Chaka","104th (1995–1997)","House Standing Committees"
"Small Business","MILLENDER-MCDONALD, Juanita","104th (1995–1997) – 110th (2007–2009)","House Standing Committees"
"Small Business","NORTON, Eleanor Holmes","104th (1995–1997)","House Standing Committees"
"Small Business","DAVIS, Danny K.","105th (1997–1999) – 109th (2005–2007)","House Standing Committees"
"Small Business","JACKSON, Jesse L., Jr.","105th (1997–1999)","House Standing Committees"
"Small Business","CHRISTENSEN, Donna Marie","106th (1999–2001) – 109th (2005–2007)","House Standing Committees"
"Small Business","JONES, Stephanie Tubbs","106th (1999–2001) – 107th (2001–2003)","House Standing Committees"
"Small Business","BALLANCE, Frank W., Jr.","108th (2003–2005)","House Standing Committees"
"Small Business","BUTTERFIELD, George Kenneth (G.K.), Jr.","108th (2003–2005)","House Standing Committees"
"Small Business","MAJETTE, Denise L.","108th (2003–2005)","House Standing Committees"
"Small Business","MOORE, Gwendolynne S. (Gwen)","109th (2005–2007) – 110th (2007–2009)","House Standing Committees"
"Small Business","CLARKE, Yvette Diane","110th (2007–2009) – 115th (2017–2019)","House Standing Committees"
"Small Business","JEFFERSON, William Jennings","110th (2007–2009)","House Standing Committees"
"Small Business","JOHNSON, Hank","110th (2007–2009)","House Standing Committees"
"Small Business","RICHMOND, Cedric","112th (2011–2013)","House Standing Committees"
"Small Business","WEST, Allen","112th (2011–2013)","House Standing Committees"
"Small Business","PAYNE, Donald, Jr.","113th (2013–2015) – 114th (2015–2017)","House Standing Committees"
"Small Business","ADAMS, Alma","114th (2015–2017) – 115th (2017–2019)","House Standing Committees"
"Small Business","HURD, William Ballard","114th (2015–2017)","House Standing Committees"
"Small Business","LAWRENCE, Brenda L.","114th (2015–2017)","House Standing Committees"
"Small Business","EVANS, Dwight","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Small Business","LAWSON, Alfred, Jr.","115th (2017–2019)","House Standing Committees"
"Small Business","DELGADO, Antonio","116th (2019–2021)","House Standing Committees"
"Small Business","VEASEY, Marc","116th (2019–2021)","House Standing Committees"
"Standards of Official Conduct","STOKES, Louis","96th (1979–1981) – 98th (1983–1985); 102nd (1991–1993)","House Standing Committees"
"Standards of Official Conduct","DIXON, Julian Carey","98th (1983–1985) – 101st (1989–1991)","House Standing Committees"
"Standards of Official Conduct","MFUME, Kweisi","103rd (1993–1995)","House Standing Committees"
"Standards of Official Conduct","FATTAH, Chaka","105th (1997–1999) – 106th (1999–2001)","House Standing Committees"
"Standards of Official Conduct","JONES, Stephanie Tubbs","107th (2001–2003) – 110th (2007–2009)","House Standing Committees"
"Standards of Official Conduct","SCOTT, Robert C.","110th (2007–2009)","House Standing Committees"
"Standards of Official Conduct","BUTTERFIELD, George Kenneth (G.K.), Jr.","111th (2009–2011)","House Standing Committees"
"Transportation and Infrastructure","BROWN, Corrine","104th (1995–1997) – 114th (2015–2017)","House Standing Committees"
"Transportation and Infrastructure","CLYBURN, James Enos","104th (1995–1997) – 105th (1997–1999)","House Standing Committees"
"Transportation and Infrastructure","COLLINS, Barbara-Rose","104th (1995–1997)","House Standing Committees"
"Transportation and Infrastructure","CUMMINGS, Elijah Eugene","104th (1995–1997) – 116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","JOHNSON, Eddie Bernice","104th (1995–1997) – 112th (2011–2013); 114th (2015–2017) – 116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","MILLENDER-MCDONALD, Juanita","104th (1995–1997) – 110th (2007–2009)","House Standing Committees"
"Transportation and Infrastructure","NORTON, Eleanor Holmes","104th (1995–1997) – 116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","TUCKER, Walter R., III","104th (1995–1997)","House Standing Committees"
"Transportation and Infrastructure","WATTS, Julius Caesar, Jr. (J. C.)","105th (1997–1999) – 106th (1999–2001)","House Standing Committees"
"Transportation and Infrastructure","CARSON, Julia May","108th (2003–2005) – 110th (2007–2009)","House Standing Committees"
"Transportation and Infrastructure","EDWARDS, Donna F.","110th (2007–2009) – 114th (2015–2017)","House Standing Committees"
"Transportation and Infrastructure","RICHARDSON, Laura","110th (2007–2009) – 112th (2011–2013)","House Standing Committees"
"Transportation and Infrastructure","CARSON, André","113th (2013–2015) – 116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","JOHNSON, Hank","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","LAWRENCE, Brenda L.","115th (2017–2019)","House Standing Committees"
"Transportation and Infrastructure","PAYNE, Donald, Jr.","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","WILSON, Frederica","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","ALLRED, Colin","116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","BROWN, Anthony Gregory","116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","DELGADO, Antonio","116th (2019–2021)","House Standing Committees"
"Transportation and Infrastructure","PLASKETT, Stacey E.","116th (2019–2021)","House Standing Committees"
"Veterans' Affairs","DIGGS, Charles Coles, Jr.","84th (1955–1957) – 85th (1957–1959)","House Standing Committees"
"Veterans' Affairs","NIX, Robert Nelson Cornelius, Sr.","85th (1957–1959) – 86th (1959–1961)","House Standing Committees"
"Veterans' Affairs","CHISHOLM, Shirley Anita","91st (1969–1971) – 92nd (1971–1973)","House Standing Committees"
"Veterans' Affairs","FORD, Harold Eugene","94th (1975–1977)","House Standing Committees"
"Veterans' Affairs","WATERS, Maxine","102nd (1991–1993) – 104th (1995–1997)","House Standing Committees"
"Veterans' Affairs","BISHOP, Sanford Dixon, Jr.","103rd (1993–1995) – 104th (1995–1997)","House Standing Committees"
"Veterans' Affairs","BROWN, Corrine","103rd (1993–1995) – 113th (2013–2015)","House Standing Committees"
"Veterans' Affairs","CLYBURN, James Enos","103rd (1993–1995) – 105th (1997–1999)","House Standing Committees"
"Veterans' Affairs","CARSON, Julia May","105th (1997–1999) – 107th (2001–2003)","House Standing Committees"
"Veterans' Affairs","ALLRED, Colin","116th (2019–2021)","House Standing Committees"
"Veterans' Affairs","UNDERWOOD, Lauren","116th (2019–2021)","House Standing Committees"
"War Claims","SMALLS, Robert","49th (1885–1887)","House Standing Committees"
"Ways and Means","FORD, Harold Eugene","94th (1975–1977) – 104th (1995–1997)","House Standing Committees"
"Ways and Means","RANGEL, Charles B.","94th (1975–1977) – 114th (2015–2017)","House Standing Committees"
"Ways and Means","JEFFERSON, William Jennings","103rd (1993–1995); 105th (1997–1999) – 109th (2005–2007)","House Standing Committees"
"Ways and Means","LEWIS, John R.","103rd (1993–1995) – 116th (2019–2021)","House Standing Committees"
"Ways and Means","REYNOLDS, Mel","103rd (1993–1995)","House Standing Committees"
"Ways and Means","JONES, Stephanie Tubbs","108th (2003–2005) – 110th (2007–2009)","House Standing Committees"
"Ways and Means","DAVIS, Artur","110th (2007–2009) – 111th (2009–2011)","House Standing Committees"
"Ways and Means","MEEK, Kendrick B.","110th (2007–2009) – 111th (2009–2011)","House Standing Committees"
"Ways and Means","DAVIS, Danny K.","111th (2009–2011); 113th (2013–2015) – 116th (2019–2021)","House Standing Committees"
"Ways and Means","SEWELL, Terri","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Ways and Means","EVANS, Dwight","116th (2019–2021)","House Standing Committees"
"Ways and Means","HORSFORD, Steven","116th (2019–2021)","House Standing Committees"
"Ways and Means","MOORE, Gwendolynne S. (Gwen)","116th (2019–2021)","House Standing Committees"
"Select Aging","FORD, Harold Eugene","94th (1975–1977) – 102nd (1991–1993)","House Select Committees"
